date,open,high,low,close,volume,return,ticker
2024-02-15,74200,74400,73000,73000,14120600,-1.3513513513513513,005930
2024-02-16,73300,73400,72500,72800,13444781,-0.273972602739726,005930
2024-02-19,72800,73900,72800,73800,12726404,1.3736263736263736,005930
2024-02-20,73700,73700,72800,73300,14681477,-0.6775067750677507,005930
2024-02-21,73400,73700,72900,73000,11503495,-0.4092769440654843,005930
2024-02-22,73800,73900,72700,73100,15208934,0.136986301369863,005930
2024-02-23,73600,74200,72900,72900,16225166,-0.27359781121751026,005930
2024-02-26,72300,73200,72200,72800,14669352,-0.1371742112482853,005930
2024-02-27,73100,73400,72700,72900,13201981,0.13736263736263737,005930
2024-02-28,72900,73900,72800,73200,11795859,0.411522633744856,005930
2024-02-29,72600,73400,72000,73400,21176403,0.273224043715847,005930
2024-03-04,74300,75000,74000,74900,23210474,2.043596730245232,005930
2024-03-05,74600,74800,73700,73700,19505125,-1.602136181575434,005930
2024-03-06,73200,73500,72700,72900,21547905,-1.0854816824966078,005930
2024-03-07,73100,73300,72200,72200,14516963,-0.9602194787379973,005930
2024-03-08,72800,73400,72600,73300,19271349,1.5235457063711912,005930
2024-03-11,72900,73100,72300,72400,9740504,-1.227830832196453,005930
2024-03-12,72600,73500,72100,73300,13011654,1.2430939226519337,005930
2024-03-13,73700,74100,73500,74100,15243134,1.0914051841746248,005930
2024-03-14,74400,74500,73600,74300,22545539,0.2699055330634278,005930
2024-03-15,73400,73700,72300,72300,22580555,-2.6917900403768504,005930
2024-03-18,72600,73000,72500,72800,11520348,0.6915629322268326,005930
2024-03-19,72300,73000,71700,72800,15376066,0.0,005930
2024-03-20,73700,77200,73400,76900,50106297,5.631868131868132,005930
2024-03-21,79200,79300,77700,79300,44569799,3.1209362808842656,005930
2024-03-22,79600,79900,77800,78900,26724761,-0.5044136191677175,005930
2024-03-25,79600,79800,77800,78200,18703996,-0.8871989860583016,005930
2024-03-26,79700,80100,79200,79900,30551494,2.1739130434782608,005930
2024-03-27,79200,80000,79200,79800,17424595,-0.1251564455569462,005930
2024-03-28,79400,81000,79200,80800,25084812,1.2531328320802004,005930
2024-03-29,81200,82500,80900,82400,27126366,1.9801980198019802,005930
2024-04-01,83200,83300,82000,82000,20116513,-0.48543689320388345,005930
2024-04-02,82900,85000,82900,85000,37077944,3.6585365853658534,005930
2024-04-03,84300,85000,83500,84100,30493347,-1.0588235294117647,005930
2024-04-04,85200,85500,84300,85300,25248934,1.426872770511296,005930
2024-04-05,84500,85000,83800,84500,18883752,-0.9378663540445485,005930
2024-04-08,85200,86000,84500,84500,18953232,0.0,005930
2024-04-09,84500,84900,83100,83600,23725956,-1.0650887573964496,005930
2024-04-11,83200,84700,82500,84100,25538009,0.5980861244019139,005930
2024-04-12,84700,84900,83200,83700,17061770,-0.47562425683709864,005930
2024-04-15,82900,83200,81200,82200,26663772,-1.7921146953405016,005930
2024-04-16,81200,81300,79400,80000,31949845,-2.67639902676399,005930
2024-04-17,80700,80800,78900,78900,22611631,-1.375,005930
2024-04-18,78800,80100,78300,79600,21370190,0.8871989860583016,005930
2024-04-19,78300,78700,76300,77600,31317563,-2.512562814070352,005930
2024-04-22,77400,77500,75100,76100,30469477,-1.9329896907216495,005930
2024-04-23,76400,76800,75500,75500,18717699,-0.7884362680683311,005930
2024-04-24,77500,78800,77200,78600,22166150,4.105960264900662,005930
2024-04-25,77300,77500,76300,76300,15549134,-2.926208651399491,005930
2024-04-26,77800,77900,76500,76700,12755629,0.5242463958060288,005930
2024-04-29,77400,77600,76200,76700,14664474,0.0,005930
2024-04-30,77000,78500,76600,77500,19007007,1.0430247718383312,005930
2024-05-02,77600,78600,77300,78000,18900640,0.6451612903225806,005930
2024-05-03,79000,79000,77500,77600,13151889,-0.5128205128205128,005930
2024-05-07,79600,81300,79400,81300,26238868,4.768041237113402,005930
2024-05-08,80800,81400,80500,81300,13089576,0.0,005930
2024-05-09,81100,81500,79700,79700,18759935,-1.968019680196802,005930
2024-05-10,80400,81100,78900,79200,16976124,-0.6273525721455459,005930
2024-05-13,79400,79900,77600,78400,18652344,-1.0101010101010102,005930
2024-05-14,78600,78800,77900,78300,11763992,-0.12755102040816327,005930
2024-05-16,80200,80300,78100,78200,20989778,-0.1277139208173691,005930
2024-05-17,78600,78800,77200,77400,15918201,-1.0230179028132993,005930
2024-05-20,78100,79100,77900,78900,19456783,1.937984496124031,005930
2024-05-21,78500,79000,78200,78400,13690583,-0.6337135614702154,005930
2024-05-22,78100,78700,77300,77700,19521506,-0.8928571428571428,005930
